filename,cluster
a.y.-jackson_barns-1926.jpg,4
a.y.-jackson_early-spring-quebec-1923.jpg,5
a.y.-jackson_entrance-to-halifax-harbour-1919.jpg,5
a.y.-jackson_river-st-urbain-1930.jpg,4
a.y.-jackson_st-john-s-newfoundland-1951.jpg,4
a.y.-jackson_the-winter-road-quebec-1921.jpg,5
a.y.-jackson_wilderness-deese-bay.jpg,5
aaron-siskind_chicago-6-1961.jpg,0
aaron-siskind_feet-102-1957.jpg,7
aaron-siskind_gloucester-16a-1944.jpg,0
aaron-siskind_new-york-1951.jpg,4
aaron-siskind_new-york-24-1988.jpg,1
aaron-siskind_new-york-40-1986.jpg,1
aaron-siskind_new-york-city-w-1-1947.jpg,0
aaron-siskind_the-tree-35-1973.jpg,1
abdullah-suriosubroto_air-terjun.jpg,2
abdullah-suriosubroto_indonesian-landscape-4.jpg,2
abdullah-suriosubroto_landscape-of-paddy-field.jpg,4
abdullah-suriosubroto_the-river.jpg,2
abidin-dino_drawing-pain-1968.jpg,0
abidin-dino_harpooned-man-1970.jpg,5
abidin-dino_legendes-a-venir-theatre-poster.jpg,0
abidin-dino_nomads-portrait-of-a-woman-1940.jpg,3
abidin-dino_unknown-title-2.jpg,0
abraham-manievich_autumn-day_1.jpg,5
abraham-manievich_camden-1923.jpg,4
abraham-manievich_fall-scene.jpg,5
abraham-manievich_flowers-on-a-yellow-table.jpg,3
abraham-manievich_flowers.jpg,3
abraham-manievich_house-workers-in-the-bronx.jpg,4
abraham-manievich_moscow-iii.jpg,5
abraham-manievich_paris-street.jpg,4
abraham-manievich_still-life-1930.jpg,5
abraham-manievich_troika-in-the-snow-1910.jpg,5
abraham-manievich_untitled-1925.jpg,5
abraham-manievich_untitled_1.jpg,5
abraham-manievich_white-house-with-trees.jpg,5
ad-reinhardt_abstract-painting-1957.jpg,0
ad-reinhardt_abstract-painting-1966-1.jpg,0
ad-reinhardt_abstract-painting-blue-1953.jpg,0
ad-reinhardt_how-to-look-at-a-spiral-1946(1).jpg,3
adam-baltatu_after-rain.jpg,2
adam-baltatu_br-ne-ti-landscape.jpg,2
adam-baltatu_house-on-siret-valley.jpg,4
adam-baltatu_house-on-siret-valley_1.jpg,4
adam-baltatu_house-with-flowers.jpg,4
adam-baltatu_houses-in-ha-i.jpg,4
adam-baltatu_houses-in-hu-i-1.jpg,4
adam-baltatu_houses-in-hu-i.jpg,4
adam-baltatu_pipkin-with-field-flowers.jpg,5
adam-baltatu_pipkin-with-flowers.jpg,5
adam-baltatu_spring-landscape.jpg,2
adam-baltatu_still-life-with-pipe-and-books.jpg,5
adam-baltatu_street-in-hu-i.jpg,4
adam-baltatu_summer-landscape_1.jpg,2
adam-baltatu_summer-sky.jpg,2
adam-baltatu_village-alley.jpg,4
adam-baltatu_winter-at-hu-i.jpg,2
adnan-coker_unknown-title(10).jpg,5
adnan-coker_unknown-title(3).jpg,2
adolf-fleischmann_sill-life-with-fruits-mussels-and-a-bottle.jpg,4
adolf-hitler_church-at-dawn.jpg,4
adolf-hitler_destroyed-building-with-archway.jpg,0
adolf-hitler_destroyed-tank-1916.jpg,0
adolf-hitler_flowers-with-roots.jpg,0
adolf-hitler_informal-dining-room-long-view.jpg,4
adolf-hitler_linz-landscape.jpg,2
adolf-hitler_maritime-nocturno-1913.jpg,2
adolf-hitler_ruins-of-a-cloister-in-messines-1914.jpg,4
adolf-hitler_still-life-with-bottle-and-fruit.jpg,0
adolf-hitler_tank-patrol-1917.jpg,3
adolf-hitler_the-church-of-preux-au-bois.jpg,4
adolf-hitler_the-old-building-in-stand-of-trees-1909.jpg,4
adolf-hitler_the-st-charles-church.jpg,0
adolf-hitler_war-torn-town-1918.jpg,4
adolf-hitler_white-orchids.jpg,3
adolphe-joseph-thomas-monticelli_as-you-like-it.jpg,2
adolphe-joseph-thomas-monticelli_elegant-women-and-cupids.jpg,5
adolphe-joseph-thomas-monticelli_gallant-party.jpg,5
adolphe-joseph-thomas-monticelli_garden-party.jpg,2
adolphe-joseph-thomas-monticelli_gathering-of-elegant-women.jpg,5
adolphe-joseph-thomas-monticelli_portrait-of-a-woman.jpg,8
adolphe-joseph-thomas-monticelli_rural-scene.jpg,5
adolphe-joseph-thomas-monticelli_still-life-with-sardines-and-sea-urchins-1882.jpg,5
adolphe-joseph-thomas-monticelli_the-meeting-of-the-elegant-ladies.jpg,5
adolphe-joseph-thomas-monticelli_the-terrace-of-the-chateau-de-st-germain.jpg,6
adolphe-joseph-thomas-monticelli_young-girls-and-dog-in-a-park.jpg,5
adriaen-brouwer_a-boor-asleep.jpg,6
adriaen-brouwer_farmers-fight-party.jpg,6
adriaen-brouwer_in-the-tavern-1.jpg,6
adriaen-brouwer_interior-of-a-tavern.jpg,6
adriaen-brouwer_peasant-inn.jpg,6
adriaen-brouwer_portrait-of-a-man.jpg,7
adriaen-brouwer_smallholders-playing-dice.jpg,8
adriaen-brouwer_the-back-operation.jpg,8
adriaen-brouwer_the-smoker.jpg,8
adriaen-brouwer_village-barbershop.jpg,6
adriaen-van-de-velde_a-cow-and-three-sheep.jpg,1
adriaen-van-de-velde_battle.jpg,4
adriaen-van-de-velde_bull-1659.jpg,1
